Station,District,Elevation,2016,2017,2018,2019,2020,2021,2022
Kakerpakha,Baitadi,783,1524.7,1339.4,1385.2,1308,NA,1912,1454.6
Baitadi Gothalapani ,Baitadi,1352,1185.6,NA,1401.4,1534.1,NA,NA,NA
Patan West ,Baitadi,1292,1137.9,NA,1255.5,1209.6,NA,NA,NA
Dadeldhura,Dadeldhura,1879,1300.5,1374.1,1265.5,1101.3,1406.8,1889.9,1419.1
Mahendra Nagar,Kanchanpur,197,2013,1869,2494.3,1850.4,2457.2,NA,2386.1
Santipur Belauri,Kanchanpur,164,1990.6,1489.8,1437.4,993.7,1665,1748.7,1833.5
Darchula,Darchula,945,3036.5,2463.3,2305.2,NA,NA,NA,NA
Santbajh,Baitadi,1881,1242.4,1502.2,1357.1,1575.7,NA,1722.8,1384.6
Rupal,Dadeldhura,1458,1286.5,1228.7,1012.8,1584.4,NA,2556.1,1705.3
Sahu Khark,Dadeldhura,2092,1555.1,1352.6,NA,1334.4,NA,2261.1,1595.5
Jogbudha,Dadeldhura,379,1530.3,987,NA,892.2,1373.7,2364.1,1750.9
Hanman Nagar,Kanchanpur,213,2205.9,1573.6,1995.1,1487.6,NA,2454.4,2317.4
Kallagoth Krishnapur ,Kanchanpur,189,1276.1,1398.6,1685.4,1532.3,NA,2053.4,2076.8
Dodhara,Kanchanpur,175,1842.8,1798.4,1917.5,1274.2,2027.5,1683.8,1853.1
Parsia,Kanchanpur,170,1723.8,1412.2,1382.4,893.9,1570.1,NA,1613.9
Bichawa,Kanchanpur,176,1586.5,1416.8,1442.1,1110.9,NA,1827.4,1673.3
Jhalari,Kanchanpur,195,1536.2,1525.7,1672.5,1363.9,NA,2298.3,1840.6
Darchula New,Darchula,887,2251.3,2485.7,2629.2,2534.6,3139.7,3138.9,2919
Patan New,Baitadi,1299,1124.7,1193.5,1217.1,1224.2,1382.3,1432.9,1426.9
Pipalkot,Bajhang,1455,2011.2,2298.1,2314.7,2102.8,NA,2950,2561
Silgadhi Doti,Doti,1309,1266,1130.2,1179,1143.8,NA,NA,1352.9
Bajura Martadi ,Bajura,1598,2023.2,NA,2319.8,2061.6,NA,NA,NA
Katai,Doti,1388,2229.2,1912.5,1512.9,971.2,NA,948.8,1282.9
Asara Ghat,Achham,632,899.7,1056.5,845.9,1122.9,NA,1689.6,1645.8
Tikapur,Kailali,149,2128.2,1822.6,1130,964,2337.2,1653.5,1795.5
Sandhepani,Kailali,159,2176.4,1887.4,1398.8,1229.4,2451.6,1903.7,1655.6
Dhangadhi Attariya ,Kailali,184,1592.9,1607.4,1530.7,1406.6,2123.9,2235.8,1958.6
Bangga Camp,Achham,1180,1446.8,1508.3,1379.4,1515.3,NA,NA,NA
Sitapur,Kailali,148,1506.6,1769.4,1313.9,1059,1504.5,1964.3,1748.4
Kola Gaun,Doti,1364,1479.2,1343,1647.2,1352.3,NA,2473.7,1723.8
Godavari West ,Kailali,280,2368.9,2515.5,1800.3,1925.3,2358,NA,2774.3
Mangalsen,Achham,1310,1373.9,1225.9,1283.9,1271.3,1760.8,2095.2,1603.6
Dipayal Doti ,Doti,563,1124.4,957.3,795.1,960.9,1048.4,1449.6,1254.7
Oli Gaun Patkani ,Achham,989,258.2,NA,493,657.5,NA,NA,NA
Raisalli Daulichaur ,Bhajang,2011,2774.1,2392.1,2806.1,2426.1,2495,3178,2931.5
Thalara,Bajhang,2360,1970.2,2580.9,2619.1,1940.6,NA,3072,2494.6
Olena Oirano ,Bajura,1116,1301.1,1955.1,1504.1,1643.3,NA,1795.2,1683
Sunkuda,Bajhang,894,790.8,1132.9,1018.9,853,NA,NA,1598.6
Rayal,Bajhang,919,1346.8,1356.6,1114.1,1638.9,NA,1907.3,1566
Kolti Airport,Bajura,1411,690.8,809.2,1066.2,1094.8,NA,NA,997.5
Kailasmandu,Bajura,917,1740.9,1902.6,1944.5,1399,NA,2804.2,2174.5
Jhingrana,Doti,2249,1913.1,2187.7,552.2,383.4,NA,NA,NA
Gopghat Golaghat ,Achham,1548,1439.8,1912.5,1991.3,2186.4,NA,2596.8,1475.2
Safebagar,Achham,626,NA,1037,1088.6,1093.4,NA,NA,NA
Gaira,Doti,1856,1760.2,1962.8,1802.5,1653,NA,2422.6,1873.3
Dumrakot,Dumrakot,1042,805.2,751.9,902.4,980.8,NA,1703.2,1321
Sugali,Achham,1668,1888.3,1926.3,1660.4,1721,NA,2871.1,2315
Sapta,Bajura,1099,376.1,512.9,521,NA,NA,978.3,794.7
Basti,Achham,474,NA,995,NA,581.6,NA,1430.5,1329.7
Chiuri,Doti,1492,1680,1133.6,2404.6,NA,NA,2987.6,1937
Malakheti,Kanchanpur,185,1790.8,1788.4,1383.1,1428.7,1960.8,NA,1972.1
Chaumala,Kailali,171,1916.9,2313.8,2039.5,1272.9,2889.9,2405,2086.9
Gokuleshwar,Kailali,761,NA,NA,NA,NA,NA,2353.7,2096.5
Garman Darbar,Kailali,1280,2968.5,1628.2,2755.5,1271.8,NA,4324.7,3988.5
Baliya,Kailali,167,1855.7,2213,1425.3,1453.3,NA,2162.2,1903.4
Bhajani,Kailali,132,1568,1426.1,1333.3,824.6,NA,1493.6,1756.1
Chainpur Bajhang Aws,,1405,1011.9,NA,1563.1,1913.1,NA,NA,NA
Thirpu,Kalikot,1017,388.1,392.5,443.6,797.3,949.2,NA,1169.1
Jumla,Jumla,2363,747.8,814,720.3,948.5,604.7,1004.3,835.7
Guthi Chaur,Jumla,2727,1139.3,1399.5,1381.3,1318.4,NA,1397.1,1175.6
Sheri Ghat,Kalikot,1090,1356,1494.9,1563.4,1813.3,1529.5,NA,2145.5
Gam Shree Nagar,Mugu,2113,979.8,NA,429.9,1111.1,NA,NA,NA
Rara,Mugu,2989,957.1,833.2,816.4,918.4,575.5,1296.5,1097.8
Nagma,Kalikot,2017,609.4,677.3,672.6,1057.1,1063.8,1441,996
Bijaypur Raskot ,Kalikot,1822,1197.3,1786.9,1431.5,1924.8,NA,1442.2,1254.2
Dipal Gaun,Jumla,2422,877.9,911.3,897.9,1080.1,NA,1365.8,1002.3
Simikot,Humla,2993,711.2,803.4,798.5,391.4,818.5,1170.1,828
Dunai,Dolpa,2098,488.4,556.9,386.5,613.2,NA,660.8,517.1
Darma,Humla,2288,NA,1026.2,1216.1,1079.1,NA,1249.1,1288.1
Kirmi,Humla,2859,516.4,712.7,644.8,945.1,NA,NA,779.4
Ghatya Khola,Humla,2230,707.9,731.6,534.9,1050.3,NA,1241.8,831.6
